Name,PropertyType,HostID,HostName,HostLocation,HostResponseTime,HostResponseRate,RoomType,BedType,MinNights,MaxNights,GuestCount,ExtraGuestCount,GuestWithPay,BedRoomsCount,No_Of_Beds,No_Of_Bathrooms,CancellationPolicy,Price,Currency,Address_Property,Location,LocationCode,Longitude,Latitude,Availability_365,Is_location_exact,Total_ReviewsCount,ReviewScores
Suíte em local tranquilo e seguro,House,53127432,Renato,Brazil,within an hour,100.0,Private room,Real Bed,1,1125,1,50.0,1.0,1.0,1.0,1.0,moderate,101.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.33496705036137,-22.948365490450556,357,True,0,10.0
A large sunny bedroom,Apartment,53169195,Ehssan,"New York, New York, United States",Not Specified,100.0,Private room,Real Bed,3,1125,1,0.0,1.0,1.0,1.0,1.0,moderate,35.0,USD,"Bronx, NY, United States",United States,US,-73.90052,40.85598,0,True,2,10.0
Best location 1BR Apt in HK - Shops & Sights,Apartment,2657469,Simon,Hong Kong,within an hour,98.0,Entire home/apt,Real Bed,1,60,4,160.0,2.0,1.0,2.0,1.0,strict_14_with_grace_period,997.0,HKD,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,114.17088,22.29663,170,True,145,10.0
Room For Erasmus,Apartment,53288729,Kemal,TR,within a day,100.0,Private room,Real Bed,1,1125,2,0.0,1.0,2.0,2.0,1.0,flexible,37.0,TRY,"Şişli, İstanbul, Turkey",Turkey,TR,29.06064,40.98837,365,False,1,10.0
,Apartment,53319251,Seda,TR,Not Specified,100.0,Private room,Real Bed,1,1125,4,0.0,1.0,1.0,2.0,1.0,flexible,105.0,TRY,"Istanbul, İstanbul, Turkey",Turkey,TR,29.05108,41.08835,0,False,0,10.0
BBC OPORTO 4X2,Apartment,3104922,Cristina,Madrid,within an hour,100.0,Entire home/apt,Real Bed,3,1125,8,0.0,1.0,4.0,8.0,2.0,flexible,100.0,EUR-P,"Porto, Porto District, Portugal",Portugal,PT,-8.60069,41.16246,264,True,71,9.0
Apartamento Mobiliado - Lgo do Machado,Apartment,15152328,Marcelo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,100.0,Entire home/apt,Real Bed,30,365,4,40.0,2.0,1.0,2.0,1.0,strict_14_with_grace_period,149.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.178886292069244,-22.931715899178695,316,False,0,10.0
luxury apartment in istanbul taxsim,Apartment,5386341,Osman,"Istanbul, Turkey",within an hour,100.0,Entire home/apt,Real Bed,2,1125,4,42.0,3.0,1.0,3.0,1.0,strict_14_with_grace_period,269.0,TRY,"Istanbul, Istanbul Province, Turkey",Turkey,TR,28.98538,41.03326,317,True,135,9.0
Pousada das Colonias,Bed and breakfast,48463017,Lidia Maria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,90.0,Private room,Real Bed,1,1125,2,70.0,2.0,1.0,1.0,1.0,strict_14_with_grace_period,138.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.3089745798612,-23.004633399469007,347,False,9,10.0
Quarto Taquara - Jacarepaguá,Apartment,3026612,Luana,"Rio de Janeiro, Rio de Janeiro, Brazil",a few days or more,0.0,Private room,Real Bed,2,1125,2,20.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,101.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.37035220190699,-22.91636184358952,365,True,1,10.0
Banyan Bungalow,Bungalow,53507053,Bobby,"Waialua, Hawaii, United States",within an hour,100.0,Entire home/apt,Real Bed,2,300,2,20.0,1.0,0.0,1.0,1.0,flexible,100.0,USD,"Waialua, HI, United States",United States,US,-158.1602,21.57561,321,False,99,10.0
Beautiful flat with services,Apartment,36696735,Liliane,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a day,100.0,Entire home/apt,Real Bed,3,1125,4,500.0,4.0,2.0,2.0,2.0,strict_14_with_grace_period,351.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.20577175003696,-22.982557305257775,316,False,32,10.0
